targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
1,0,39,0,0.0291975,0.0026054
0,0,39,0,0.0266625,0.00207084
0,0,39,0,0.0131825,0.000757346
2,0,39,1,0.00818,8.3153e-05
3,0,39,1,0.014475,0.000639038
2,0,39,1,0.012045,0.000240251
1,0,39,0,0.0099675,0.000160729
0,0,39,0,0.010785,0.000337903
0,1,24,0,0.009324,0.000132592
1,0,39,0,0.015325,0.00103898
1,0,39,0,0.0089425,0.000110797
2,0,39,1,0.009505,0.000124592
1,0,39,0,0.0094275,0.000139198
0,0,39,0,0.0097575,0.000153672
1,0,39,0,0.01706,0.000443805
2,0,39,1,0.015685,0.000366755
2,0,39,1,0.013595,0.000286711
0,0,39,0,0.0103425,0.000168844
0,0,39,0,0.0106375,0.000158337
1,0,39,0,0.012505,0.000233476
1,1,28,0,0.0126034,0.000244207
1,0,39,0,0.01218,0.00021174
1,0,39,0,0.0112625,0.000197794
1,0,39,0,0.012905,0.000256574
2,0,39,1,0.016485,0.000512679
1,0,39,0,0.0122275,0.000227215
0,0,39,0,0.0138925,0.00031133
1,0,39,0,0.008075,9.3822e-05
2,0,39,1,0.00889,0.000105215
1,0,39,0,0.0079325,7.54948e-05
0,0,39,0,0.0214825,0.000617055
0,0,39,0,0.0209325,0.000581867
2,0,39,1,0.0205,0.00055174
1,0,39,0,0.0145625,0.000323362
1,0,39,0,0.012135,0.000234069
1,0,39,0,0.0117925,0.000204641
2,0,39,1,0.0159175,0.000369467
0,0,39,0,0.0135525,0.000281462
1,0,39,0,0.0102025,0.000205283
1,0,39,0,0.0089275,0.000123211
2,0,39,1,0.0099325,0.00015904
0,0,39,0,0.009115,0.000124681
1,0,39,0,0.008185,9.2338e-05
1,0,39,0,0.0093775,0.000136399
1,0,39,0,0.0094275,0.000137981
2,0,39,1,0.0091425,0.000130797
1,0,39,0,0.00817,8.93615e-05
1,0,39,0,0.009315,0.00013521
1,0,39,0,0.0081575,9.21543e-05
0,0,39,0,0.0099525,0.000153717
1,0,39,0,0.0092625,0.000133772
0,0,39,0,0.00826,8.1897e-05
0,0,39,0,0.0163975,0.000481971
3,0,39,1,0.0144975,0.00031463
0,0,39,0,0.0103725,0.000170674
2,0,39,1,0.00777,7.58985e-05
2,0,39,1,0.00903,0.000112645
0,0,39,0,0.01036,0.000202124
1,0,39,0,0.00867,0.000112488
1,0,39,0,0.00868,9.36365e-05
2,0,39,1,0.00883,0.00010852
1,0,39,0,0.007905,7.6212e-05
0,0,39,0,0.0105275,0.000191943
1,0,39,0,0.00765,7.6813e-05
0,0,39,0,0.009085,0.000117907
1,1,30,0,0.0133871,0.00028418
0,0,39,0,0.0108,0.000176879
0,0,39,0,0.015245,0.000360564
1,0,39,0,0.0098025,0.000121447
1,0,39,0,0.011275,0.000169627
1,0,39,0,0.014065,0.000307592
0,0,39,0,0.0184375,0.00052621
1,0,39,0,0.01182,0.000204971
1,1,39,0,0.0120625,0.000241679
1,0,39,0,0.0142225,0.00036779
1,0,39,0,0.0171575,0.000462214
0,0,39,0,0.0213225,0.000639594
2,0,39,1,0.01383,0.000301624
0,0,39,0,0.01537,0.000399729
2,0,39,1,0.0120225,0.000214201
0,0,39,0,0.0126975,0.000257265
1,0,39,0,0.0179925,0.000470368
1,0,39,0,0.0153625,0.000419577
1,0,39,0,0.01178,0.000197636
2,0,39,1,0.0149075,0.000366098
2,0,39,1,0.0149875,0.000342988
0,0,39,0,0.012965,0.000271586
1,0,39,0,0.01288,0.000296853
1,0,39,0,0.0092775,0.000122884
1,0,39,0,0.0107525,0.00017639
2,0,39,1,0.009055,0.000115881
0,0,39,0,0.010085,0.000158515
2,0,39,1,0.0095675,0.000121986
2,0,39,1,0.0112475,0.000188453
3,0,39,1,0.0129575,0.000350358
1,0,39,0,0.0091525,0.000105703
1,0,39,0,0.0130725,0.000265805
1,0,39,0,0.01435,0.000324241
0,0,39,0,0.01437,0.000336687
2,0,39,1,0.0116175,0.000214157
0,0,39,0,0.011945,0.000213888
2,0,39,1,0.0158825,0.000403956
0,0,39,0,0.0116375,0.000199582
2,0,39,1,0.0117025,0.000261695
0,0,39,0,0.0113875,0.000205895
2,0,39,1,0.0116975,0.000208826
1,0,39,0,0.0110275,0.000180936
2,0,39,1,0.0113675,0.000200383
