targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
0,0,39,0,0.0139975,0.000338778
1,0,39,0,0.0156325,0.000372455
0,0,39,0,0.018575,0.000462173
2,0,39,1,0.014655,0.000329149
1,0,39,0,0.014845,0.000330832
0,0,39,0,0.01177,0.000216356
1,0,39,0,0.013955,0.000298685
3,0,39,1,0.0116425,0.000219756
1,0,39,0,0.01373,0.000283479
1,0,39,0,0.01395,0.000303431
3,0,39,1,0.0099725,0.000162826
1,0,39,0,0.018215,0.000451762
0,0,39,0,0.0142225,0.000308478
0,0,39,0,0.0155625,0.000399817
1,1,16,0,0.00692353,4.96724e-05
0,0,39,0,0.0064025,4.14763e-05
0,0,39,0,0.0064925,4.26403e-05
1,0,39,0,0.0160875,0.000456185
1,0,39,0,0.01952,0.000507607
1,0,39,0,0.0655725,0.111501
0,0,39,0,0.01362,0.000375735
0,0,39,0,0.0120025,0.00023111
1,0,39,0,0.0158475,0.000373203
0,0,39,0,0.0161525,0.000391226
0,0,39,0,0.01578,0.000368185
0,0,39,0,0.0196025,0.000526011
1,0,39,0,0.0215475,0.000596478
1,0,39,0,0.0208225,0.000570183
0,0,39,0,0.0098475,0.000148354
1,0,39,0,0.019825,0.000548058
1,0,39,0,0.0209275,0.000560498
1,0,39,0,0.01585,0.000392801
1,0,39,0,0.01473,0.000423264
1,0,39,0,0.01994,0.000517845
1,0,39,0,0.0237475,0.000674666
2,0,39,1,0.0189475,0.000494333
0,0,39,0,0.01586,0.000365771
2,0,39,1,0.011495,0.000189307
1,0,39,0,0.0112975,0.000245702
1,0,39,0,0.01368,0.000282474
0,0,39,0,0.01826,0.000460767
0,0,39,0,0.0134125,0.000246157
0,0,39,0,0.095895,0.213316
1,0,39,0,0.01641,0.000390387
0,0,39,0,0.0202025,0.000560349
0,0,39,0,0.0129825,0.000296941
1,0,39,0,0.009735,0.000181082
1,0,39,0,0.01186,0.000232217
1,0,39,0,0.0095525,0.000219866
1,1,38,0,0.00678718,5.04233e-05
1,0,39,0,0.01163,0.000220839
1,1,25,0,0.0157538,0.000369495
2,0,39,1,0.0172775,0.000464388
1,0,39,0,0.0183075,0.000500283
1,0,39,0,0.0190425,0.000615425
0,0,39,0,0.013975,0.000221798
0,0,39,0,0.036975,0.0102806
1,0,39,0,0.035305,0.00129905
0,0,39,0,0.0095075,0.000158192
3,0,39,1,0.0176225,0.000669232
1,0,39,0,0.0200575,0.000537066
2,0,39,1,0.015195,0.000350102
0,0,39,0,0.010335,0.000164124
0,0,39,0,0.0095125,0.000135107
0,0,39,0,0.0150475,0.000388769
0,0,39,0,0.013625,0.000322002
1,0,39,0,0.0114525,0.000210489
1,0,39,0,0.0114525,0.000207579
2,0,39,1,0.0181225,0.000845358
1,0,39,0,0.0113775,0.000216714
0,0,39,0,0.009065,0.000127508
2,0,39,1,0.0079025,7.49193e-05
1,1,34,0,0.00868,0.000105286
1,0,39,0,0.0103525,0.000306843
0,0,39,0,0.0085425,8.94428e-05
1,0,39,0,0.0127375,0.000291713
0,0,39,0,0.01248,0.000675539
1,0,39,0,0.0079725,8.07063e-05
2,1,15,0,0.0114687,0.000351986
1,0,39,0,0.0089475,0.00011804
0,0,39,0,0.0090475,0.000122559
1,0,39,0,0.007785,8.9221e-05
0,0,39,0,0.008225,9.62305e-05
0,0,39,0,0.0082875,8.98593e-05
0,0,39,0,0.0092775,0.000129058
1,0,39,0,0.00867,0.000114634
1,0,39,0,0.0614875,0.106023
0,0,39,0,0.0091025,0.000117534
0,0,39,0,0.01215,0.000235139
0,0,39,0,0.0131825,0.000265057
1,0,39,0,0.0167525,0.000730696
1,0,39,0,0.0072,5.37255e-05
1,0,39,0,0.0089,0.000121391
1,1,13,0,0.00809286,6.81379e-05
1,0,39,0,0.009505,0.000218203
0,0,39,0,0.0092,0.000120638
1,0,39,0,0.007955,8.90025e-05
0,1,39,0,0.00843,9.3449e-05
1,0,39,0,0.0117875,0.000231273
0,0,39,0,0.0104925,0.000172562
1,0,39,0,0.0092725,0.00012964
2,1,21,0,0.00750909,8.19391e-05
1,0,39,0,0.007625,7.3617e-05
0,0,39,0,0.0072425,6.74753e-05
2,0,39,1,0.008345,9.31525e-05
1,0,39,0,0.0076475,6.97633e-05
1,0,39,0,0.008715,0.000103265
0,1,32,0,0.0187152,0.00159684
1,1,35,0,0.00933056,0.000130145
1,0,39,0,0.0083925,0.000103712
0,1,26,0,0.00782963,8.06259e-05
0,0,39,0,0.0101675,0.000170543
0,0,39,0,0.0091725,0.000127385
2,0,39,1,0.0077875,8.65057e-05
2,0,39,1,0.00851,9.99475e-05
1,0,39,0,0.0077825,8.93252e-05
1,1,13,0,0.00757857,5.89221e-05
2,0,39,1,0.008055,8.16865e-05
0,0,39,0,0.0073675,5.68137e-05
0,0,39,0,0.0140275,0.000373087
0,1,21,0,0.0100818,0.000144321
1,0,39,0,0.0085975,9.41413e-05
2,0,39,1,0.0084675,7.54338e-05
0,0,39,0,0.0097775,0.000107899
0,1,38,0,0.00894615,9.32474e-05
2,0,39,1,0.0099925,0.000111837
3,0,39,1,0.008865,9.0885e-05
0,0,39,0,1.26386,62.7773
3,0,39,1,0.0699825,0.126685
3,0,39,1,0.016945,0.000511975
1,1,24,0,0.01564,0.000400843
1,1,26,0,0.00898148,0.000104227
0,0,39,0,0.01042,0.000171182
1,0,39,0,0.009865,0.000157901
0,0,39,0,0.0106925,0.000164715
1,0,39,0,0.0114925,0.000214885
2,0,39,1,0.010935,0.000200377
0,0,39,0,0.0103325,0.000157058
1,0,39,0,0.01325,0.000335122
1,0,39,0,0.0121775,0.000244439
0,1,14,0,0.00914,0.000130147
2,0,39,1,0.0084475,8.67557e-05
1,0,39,0,0.0090525,0.000108881
2,1,14,0,0.00808667,6.8706e-05
0,0,39,0,0.007855,7.71905e-05
0,0,39,0,0.0079675,8.07933e-05
2,0,39,1,0.009885,0.000147276
0,0,39,0,0.008935,0.000106367
0,0,39,0,0.0093875,0.000137564
0,0,39,0,0.0075875,7.19348e-05
0,0,39,0,0.008905,9.53915e-05
1,0,39,0,0.008445,9.9134e-05
0,0,39,0,0.0067975,4.98487e-05
2,1,38,0,0.00823333,9.57562e-05
0,0,39,0,0.0081,9.33235e-05
1,0,39,0,0.007245,5.49965e-05
0,1,11,0,0.00698333,5.07717e-05
0,0,39,0,0.008635,0.000100566
2,0,39,1,0.00833,8.3684e-05
1,0,39,0,0.0081525,9.74358e-05
1,1,28,0,0.00798621,8.43007e-05
0,0,39,0,0.0097225,0.000152633
1,0,39,0,0.0121325,0.000243797
0,0,39,0,0.0112425,0.000202233
1,0,39,0,0.0103175,0.0001483
0,0,39,0,0.0101875,0.000152766
2,0,39,1,0.0120425,0.000230051
1,0,39,0,0.0110725,0.000189889
1,0,39,0,0.0131275,0.000257438
2,0,39,1,0.0123025,0.00023452
1,0,39,0,0.01725,0.000494389
0,0,39,0,0.01808,0.000446865
0,0,39,0,0.016785,0.000422427
0,1,27,0,0.0147821,0.00033385
2,0,39,1,0.00941,0.00012916
1,0,39,0,0.0103475,0.000174214
0,0,39,0,0.01204,0.000231565
0,0,39,0,0.0107625,0.000184554
1,0,39,0,0.0146075,0.000405149
0,0,39,0,0.012885,0.000269314
1,1,25,0,0.0168346,0.000412274
0,0,39,0,0.0122525,0.000242557
0,0,39,0,0.013775,0.000309923
1,0,39,0,0.0097025,0.000150361
0,0,39,0,0.0109425,0.000203943
1,0,39,0,0.0091625,0.000124621
0,0,39,0,0.0122125,0.000333622
0,0,39,0,0.0111975,0.000199382
0,0,39,0,0.009355,0.000136156
0,0,39,0,0.01131,0.000198434
0,1,28,0,0.00967586,0.000147154
1,0,39,0,0.01093,0.000185586
2,1,21,0,0.0120227,0.000218249
2,0,39,1,0.0090675,0.000120838
0,1,16,0,0.00796471,8.17671e-05
0,0,39,0,0.00884,0.000109212
0,0,39,0,0.0076125,6.02828e-05
1,0,39,0,0.00903,0.000110736
0,0,39,0,0.0084525,9.97268e-05
0,1,35,0,0.00964444,0.000135095
0,0,39,0,0.00901,0.000125839
1,0,39,0,0.0093275,0.00013968
0,0,39,0,0.0123375,0.000607548
1,0,39,0,0.0086475,0.00010903
0,1,22,0,0.0106,0.000169477
1,0,39,0,0.0092425,0.000127475
1,0,39,0,0.0105775,0.000189251
